Mumbai	Maharashtra
Allahabad	Uttar Pradesh
Amroha	Uttar Pradesh
Moradabad	Uttar Pradesh
Aligarh	Uttar Pradesh
Saharanpur	Uttar Pradesh
Noida	Uttar Pradesh
Loni	Uttar Pradesh
Jhansi	Uttar Pradesh
Shahjahanpur	Uttar Pradesh
Rampur	Uttar Pradesh
Modinagar	Uttar Pradesh
Hapur	Uttar Pradesh
Etawah	Uttar Pradesh
Sambhal	Uttar Pradesh
Orai	Uttar Pradesh
Bahraich	Uttar Pradesh
Unnao	Uttar Pradesh
Rae Bareli	Uttar Pradesh
Lakhimpur	Uttar Pradesh
Sitapur	Uttar Pradesh
Lalitpur	Uttar Pradesh
Pilibhit	Uttar Pradesh
Chandausi	Uttar Pradesh
Hardoi 	Uttar Pradesh
Azamgarh	Uttar Pradesh
Khair	Uttar Pradesh
Sultanpur	Uttar Pradesh
Tanda	Uttar Pradesh
Nagina	Uttar Pradesh
Shamli	Uttar Pradesh
Najibabad	Uttar Pradesh
Shikohabad	Uttar Pradesh
Sikandrabad	Uttar Pradesh
Shahabad	Uttar Pradesh
Pilkhuwa	Uttar Pradesh
Renukoot	Uttar Pradesh
Vrindavan	Uttar Pradesh
Ujhani	Uttar Pradesh
Laharpur	Uttar Pradesh
Tilhar	Uttar Pradesh
Sahaswan	Uttar Pradesh
Rath	Uttar Pradesh
Sherkot	Uttar Pradesh
Kalpi	Uttar Pradesh
Tundla	Uttar Pradesh
Sandila	Uttar Pradesh
Nanpara	Uttar Pradesh
Sardhana	Uttar Pradesh
Nehtaur	Uttar Pradesh
Seohara	Uttar Pradesh
Padrauna	Uttar Pradesh
Mathura	Uttar Pradesh
Thakurdwara	Uttar Pradesh
Nawabganj	Uttar Pradesh
Siana	Uttar Pradesh
Noorpur	Uttar Pradesh
Sikandra Rao	Uttar Pradesh
Puranpur	Uttar Pradesh
Rudauli	Uttar Pradesh
Thana Bhawan	Uttar Pradesh
Palia	Uttar Pradesh
Zaidpur	Uttar Pradesh
Nautanwa	Uttar Pradesh
Zamania	Uttar Pradesh
Shikarpur	Uttar Pradesh
Naugawan Sadat	Uttar Pradesh
Fatehpur Sikri	Uttar Pradesh
Shahabad	Uttar Pradesh
Robertsganj	Uttar Pradesh
Utraula	Uttar Pradesh
Sadabad	Uttar Pradesh
Rasra	Uttar Pradesh
Lar	Uttar Pradesh
Lal Gopalganj Nindaura	Uttar Pradesh
Sirsaganj	Uttar Pradesh
Pihani	Uttar Pradesh
Rudrapur	Uttar Pradesh
Soron	Uttar Pradesh
SUrban Agglomerationr	Uttar Pradesh
Samdhan	Uttar Pradesh
Sahjanwa	Uttar Pradesh
Rampur Maniharan	Uttar Pradesh
Sumerpur	Uttar Pradesh
Shahganj	Uttar Pradesh
Tulsipur	Uttar Pradesh
Tirwaganj	Uttar Pradesh
PurqUrban Agglomerationzi	Uttar Pradesh
Shamsabad	Uttar Pradesh
Warhapur	Uttar Pradesh
Powayan	Uttar Pradesh
Sandi	Uttar Pradesh
Achhnera	Uttar Pradesh
Naraura	Uttar Pradesh
Nakur	Uttar Pradesh
Sahaspur	Uttar Pradesh
Safipur	Uttar Pradesh
Reoti	Uttar Pradesh
Sikanderpur	Uttar Pradesh
Saidpur	Uttar Pradesh
Sirsi	Uttar Pradesh
Purwa	Uttar Pradesh
Parasi	Uttar Pradesh
Lalganj	Uttar Pradesh
Phulpur	Uttar Pradesh
Shishgarh	Uttar Pradesh
Sahawar	Uttar Pradesh
Samthar	Uttar Pradesh
Pukhrayan	Uttar Pradesh
Obra	Uttar Pradesh
Niwai	Uttar Pradesh
Dehradun	Uttarakhand
Hardwar	Uttarakhand
Haldwani-cum-Kathgodam	Uttarakhand
Srinagar	Uttarakhand
Kashipur	Uttarakhand
Roorkee	Uttarakhand
Rudrapur	Uttarakhand
Rishikesh	Uttarakhand
Ramnagar	Uttarakhand
Pithoragarh	Uttarakhand
Manglaur	Uttarakhand
Nainital	Uttarakhand
Mussoorie	Uttarakhand
Tehri	Uttarakhand
Pauri	Uttarakhand
Nagla	Uttarakhand
Sitarganj	Uttarakhand
Bageshwar	Uttarakhand
Kolkata	West Bengal
Siliguri	West Bengal
Asansol	West Bengal
Raghunathganj	West Bengal
Kharagpur	West Bengal
Naihati	West Bengal
English Bazar	West Bengal
Baharampur	West Bengal
Hugli-Chinsurah	West Bengal
Raiganj	West Bengal
Jalpaiguri	West Bengal
Santipur	West Bengal
Balurghat	West Bengal
Medinipur	West Bengal
Habra	West Bengal
Ranaghat	West Bengal
Bankura	West Bengal
Nabadwip	West Bengal
Darjiling	West Bengal
Purulia	West Bengal
Arambagh	West Bengal
Tamluk	West Bengal
AlipurdUrban Agglomerationr	West Bengal
Suri	West Bengal
Jhargram	West Bengal
Gangarampur	West Bengal
Rampurhat	West Bengal
Kalimpong	West Bengal
Sainthia	West Bengal
Taki	West Bengal
Murshidabad	West Bengal
Memari	West Bengal
Paschim Punropara	West Bengal
Tarakeswar	West Bengal
Sonamukhi	West Bengal
PandUrban Agglomeration	West Bengal
Mainaguri	West Bengal
Malda	West Bengal
Panchla	West Bengal
Raghunathpur	West Bengal
Mathabhanga	West Bengal
Monoharpur	West Bengal
Srirampore	West Bengal
Adra	West Bengal
